,Area,mnemonic,2011,2012,2013,2014,2015,2016,2017,2018,2019,Size,Latitude,Longitude,Convenience Store,Supermarket
47,Hilton (South Derbyshire),E34000839,7766,7879,8015,8172,8189,8224,8333,8469,8588,Small Town,52.87265000000008,-1.6396999999999482,0,1
48,Buckingham,E34000850,12930,12904,12869,13050,13706,14070,14777,15235,15379,Small Town,52.000720000000065,-0.9864899999999466,2,3
49,Brackley,E34000857,13082,13148,13311,13370,13389,13701,14161,14651,15315,Small Town,52.02752000000004,-1.1489499999999566,1,1
50,Paddock Wood,E34000885,7848,7953,8015,7902,7754,7768,7732,7657,7719,Small Town,51.179710000000064,0.39362000000005537,1,0
51,Garforth,E34000891,14789,14875,14861,14788,14828,14833,14752,14584,14464,Small Town,53.79696000000007,-1.3751199999999244,0,2
52,Northallerton,E34000922,16862,16878,17025,16837,16786,16976,17002,17045,17030,Small Town,54.338880000000074,-1.4317499999999654,0,3
53,Hayle,E34000980,8230,8306,8304,8328,8399,8377,8560,8708,8839,Small Town,50.19206000000002,-5.407569999999964,0,1
54,Conisbrough,E34000991,15918,15979,15998,16023,15876,15993,15952,15916,15873,Small Town,53.48658000000007,-1.2281599999999455,1,2
55,Nantwich,E34000994,17231,17376,17595,17663,17836,18003,18003,17955,17997,Small Town,53.065960000000075,-2.5169299999999453,0,3
56,Market Drayton,E34001024,11816,11806,11881,12080,12111,12177,12218,12211,12327,Small Town,52.904660000000035,-2.4868999999999346,1,3
57,Portishead,E34001039,23797,24246,24838,25389,25815,26156,26286,26490,26535,Medium Town,51.47396000000003,-2.7696299999999496,1,4
58,Marple,E34001064,18204,18266,18285,18466,18513,18662,18593,18676,18621,Small Town,53.395650000000046,-2.0701799999999366,0,1
59,Dawlish,E34001067,11305,11467,11618,12026,12350,12564,12814,13048,13355,Small Town,50.581990000000076,-3.4647199999999434,0,1
60,Dronfield,E34001068,21114,21145,21099,21090,21006,21071,20927,20956,20964,Small Town,53.30473000000006,-1.4693999999999503,0,2
61,Wootton Bassett,E34001070,11263,11513,11716,12006,12575,12604,12792,12926,12943,Small Town,51.54317000000003,-1.902379999999937,0,1
62,Hawkinge,E34001073,8014,8189,8373,8487,8441,8508,8608,8715,8777,Small Town,51.11576000000008,1.1647100000000703,0,1
63,Dinnington (Rotherham),E34001117,19893,19999,19970,20161,20401,20585,20433,20542,20443,Small Town,53.36530000000005,-1.2095199999999409,0,2
64,Faringdon,E34001202,7156,7427,7568,7772,7955,8011,8093,8098,7992,Small Town,51.65628000000004,-1.5867599999999698,1,1
65,Raunds,E34001247,8637,8541,8566,8569,8571,8661,8822,8972,9165,Small Town,52.34335000000005,-0.5468099999999367,1,2
66,Halstead,E34001263,11934,11977,11897,11975,11992,12194,12127,12051,12161,Small Town,51.943990000000035,0.6358200000000238,0,2
67,Newport (Isle of Wight),E34001267,24937,25159,24925,25240,25518,25622,25773,25926,25844,Medium Town,50.70010000000008,-1.295889999999929,0,4
68,Ponteland,E34001322,10124,10170,10284,10297,10341,10406,10480,10380,10465,Small Town,55.04973000000007,-1.7427799999999252,1,1
69,Oakham,E34001373,10935,11000,11090,11305,11189,11065,11136,11157,11191,Small Town,52.67004000000003,-0.7310499999999251,0,3
70,Okehampton,E34001398,7665,7754,7782,7901,8164,8248,8470,8643,8805,Small Town,50.73947000000004,-4.0018199999999515,1,1
71,Clitheroe,E34001416,14801,14905,15093,15143,15374,15587,15974,16279,16653,Small Town,53.87274000000008,-2.3917899999999577,0,4
72,Petersfield,E34001430,14998,14955,14936,14973,15005,15093,15246,15390,15450,Small Town,51.00389000000007,-0.9370499999999424,1,2
73,Louth,E34001434,16466,16538,16641,16766,16845,16852,16991,17137,17413,Small Town,53.36649000000007,-0.007409999999936191,0,2
74,Ashington (Northumberland),E34001445,27685,27736,27803,27720,27761,27664,27993,28100,28139,Medium Town,55.18354000000005,-1.5694099999999482,0,3
75,Newmarket,E34001461,20464,20244,20386,20790,20875,20472,20977,21061,20819,Small Town,52.25019000000003,0.3986200000000508,1,2
76,Heswall,E34001481,29735,29850,29762,29683,29609,29509,29467,29541,29436,Medium Town,53.329180000000065,-3.0985699999999383,0,2
77,Sheerness,E34001491,12004,12273,12326,12518,12725,13088,13270,13422,13418,Small Town,51.43884000000003,0.7646600000000491,0,2
78,Driffield,E34001493,13111,13165,13175,13092,12930,12980,13049,12966,13117,Small Town,54.008940000000045,-0.4363099999999349,1,2
79,Retford,E34001504,22033,22097,22337,22542,22813,22955,23247,23277,23348,Small Town,53.32519000000008,-0.9452799999999684,0,2
80,Leominster,E34001545,10933,11002,11119,11145,11191,11183,11417,11633,11614,Small Town,52.227090000000025,-2.744919999999979,0,2
81,Bodmin,E34001604,14672,14859,15100,15170,15447,15601,15681,15868,16000,Small Town,50.47123000000005,-4.717339999999979,0,4
82,Caister-on-Sea,E34001609,8891,8850,8950,8972,9025,8972,8898,8911,8801,Small Town,52.648090000000074,1.7264800000000378,0,2
83,Devizes,E34001645,18082,18554,18760,18937,18877,19006,18907,18978,19097,Small Town,51.351620000000075,-1.9951299999999603,0,3
84,Elland,E34001704,15651,15761,15950,16053,16085,16236,16153,16248,16255,Small Town,53.68623000000007,-1.8358799999999744,0,2
85,Bishop's Stortford,E34001711,38005,38338,38824,39392,39682,39863,40089,40423,40815,Medium Town,51.872930000000046,0.16161000000005288,1,3
86,Kenilworth,E34001715,22397,22219,22080,22017,21758,21450,21490,21682,21616,Small Town,52.343180000000075,-1.5796699999999646,1,1
87,New Romney,E34001759,9676,9624,9691,9716,9754,9983,9941,10009,9989,Small Town,50.98678000000007,0.9464700000000336,0,1
88,South Ockendon,E34001850,19505,19844,20169,20562,21061,21491,21794,22055,22303,Small Town,51.50248000000005,0.2835000000000605,0,3
89,West Chiltington Common,E34001895,7479,7584,7700,7871,7864,7903,7891,7892,7867,Small Town,50.94679986145442,-0.4617741811472023,0,1
90,New Rossington,E34001896,13536,13502,13432,13453,13500,13346,13295,13375,13656,Small Town,53.47344000000004,-1.0615399999999795,0,2
91,Stanford-le-Hope,E34001958,28724,28451,28387,28476,28617,28786,29064,29059,29004,Medium Town,51.51413000000008,0.4151900000000524,0,1
92,Yeovil,E34001962,45964,46523,46921,47385,47576,47919,48303,48590,48615,Medium Town,50.94870000000003,-2.63946999999996,0,5
93,Amesbury,E34001982,10198,10373,10570,10628,10616,10726,11149,11404,11754,Small Town,51.16948000000008,-1.7771999999999366,0,3
94,Crook,E34001993,9488,9516,9457,9453,9492,9561,9546,9542,9627,Small Town,54.71434000000005,-1.7487499999999727,0,1
95,Maldon,E34002041,21507,21569,21783,21848,21824,21945,21810,21886,22032,Small Town,51.731430000000046,0.675420000000031,0,4
96,Sudbury,E34002053,22268,22471,22696,22915,23093,23177,23456,23626,23842,Small Town,52.03862000000004,0.7343900000000758,2,3
97,Brandon (County Durham),E34002054,9576,9553,9546,9572,9834,9920,9967,10134,10177,Small Town,54.74998000000005,-1.6215499999999563,1,2
98,Ormskirk,E34002061,24018,24395,24747,24971,25288,25523,26121,26327,26262,Medium Town,53.566250000000075,-2.8862399999999298,0,3
99,Blyth (Northumberland),E34002074,37425,37434,37455,37513,37959,38388,38794,39251,39535,Medium Town,55.123590000000036,-1.5156899999999496,0,4
100,Holbeach,E34002085,7900,7838,7873,7927,7946,8142,8274,8400,8418,Small Town,52.803960000000075,0.014500000000055024,0,1
101,Newquay,E34002180,20218,20284,20615,20628,20892,21392,21889,22218,22612,Small Town,50.412830000000035,-5.071169999999938,0,3
102,Hemsworth,E34002182,9269,9321,9310,9384,9271,9312,9350,9357,9425,Small Town,53.34007000000002,-1.469479999999976,1,8
103,Thirsk,E34002254,9976,10054,10057,10191,10264,10405,10554,10760,10946,Small Town,54.23273000000007,-1.342049999999972,0,3
104,Huntingdon,E34002257,24109,24268,24472,25024,25404,25730,25908,25825,26004,Medium Town,52.335230000000074,-0.1893599999999651,1,4
105,Shirebrook,E34002285,10916,10974,11172,11343,11549,11632,11750,12009,12408,Small Town,53.20265000000007,-1.2193599999999378,0,1
106,Sherborne,E34002367,9495,9552,9636,9756,9729,9754,9815,9922,9894,Small Town,50.94936000000007,-2.5216599999999403,1,1
107,Silsden,E34002384,7901,7998,8047,8046,8095,8064,8005,7991,7996,Small Town,53.915880000000065,-1.935769999999934,0,1
108,Honiton,E34002446,11507,11518,11489,11526,11514,11478,11516,11588,11549,Small Town,50.797390000000064,-3.196869999999933,0,3
109,Chippenham (Wiltshire),E34002470,35886,35954,36024,36127,35980,36016,35919,35719,35469,Medium Town,51.461110000000076,-2.1195099999999343,0,4
110,Gillingham (North Dorset),E34002474,11319,11364,11410,11426,11524,11538,11585,11549,11490,Small Town,51.03868000000006,-2.278229999999951,1,2
111,Tring,E34002511,11936,11939,11893,11957,12050,12177,12267,12307,12297,Small Town,51.793540000000064,-0.6627999999999474,0,1
112,Guisborough,E34002512,16951,16917,16999,17035,17019,17086,17301,17665,17795,Small Town,54.53561000000008,-1.0522899999999709,0,4
113,Rugeley,E34002554,24065,24294,24391,24502,24414,24526,24487,24683,24725,Small Town,52.75868000000003,-1.937019999999961,0,4
114,Saffron Walden,E34002562,15277,15450,15721,15885,16356,16522,16719,16825,17012,Small Town,52.02059000000003,0.2399000000000342,2,2
115,Knutsford,E34002605,13230,13271,13250,13281,13220,13340,13286,13164,13095,Small Town,53.30431000000005,-2.376299999999958,0,4
116,Biggleswade,E34002609,16630,17117,17488,17972,18604,19309,20221,20983,21673,Small Town,52.08698000000004,-0.2616199999999367,0,3
117,Ripon,E34002624,16534,16733,16669,16450,16409,16203,16181,16173,16121,Small Town,54.13612000000007,-1.52434999999997,0,3
118,Selsey,E34002637,10520,10450,10503,10519,10500,10460,10486,10533,10519,Small Town,50.741910000000075,-0.7826299999999264,1,1
119,Ilfracombe,E34002653,11169,11108,11126,11069,11023,10990,11068,11055,10946,Small Town,51.20825000000008,-4.123249999999929,0,2
120,Newton Aycliffe,E34002689,25980,25964,25726,25767,25778,25833,25859,26065,26116,Medium Town,54.619120000000066,-1.571489999999926,0,3
121,South Woodham Ferrers,E34002729,16447,16374,16416,16488,16320,16273,16239,16137,15978,Small Town,51.65324000000004,0.6076300000000288,0,1
122,Lichfield,E34002733,33003,33188,33350,33479,33629,33704,33816,33970,34169,Medium Town,52.684170000000044,-1.8188599999999724,1,4
123,Lymm,E34002801,11638,11702,11857,11971,11985,11973,11950,11870,11908,Small Town,53.379620000000045,-2.487059999999929,0,1
124,Dereham,E34002816,20732,20803,20874,21051,21119,21079,21246,21434,21362,Small Town,52.680230000000044,0.94491000000005,0,5
125,Newport (Telford and Wrekin),E34002854,12702,12700,12544,12459,12592,12859,13184,13442,13539,Small Town,52.730230232000046,-2.488722166999935,0,4
126,Beaconsfield,E34002872,13836,14035,14264,14443,14619,14699,14650,14677,14667,Small Town,51.611860000000036,-0.6469899999999598,1,1
127,Chapel-en-le-Frith,E34002878,6607,6533,6621,6613,6729,6847,7113,7356,7614,Small Town,53.322940000000074,-1.91650999999996,0,2
128,Longridge,E34002906,7580,7493,7519,7608,7753,7812,7936,8068,8087,Small Town,53.829110000000064,-2.600689999999929,0,1
129,Verwood,E34002917,13394,13475,13591,13683,13636,13650,13745,13673,13650,Small Town,50.881740000000036,-1.8787099999999557,0,1
