,Area,Venue Category,Venue Name,Longitude,Latitude
75,Bolsover,Supermarket,Aldi,-1.2641635598977607,53.27548774305547
76,Bolsover,Supermarket,Tesco,-1.2111207,53.3703726
77,Bolsover,Supermarket,Job Lot,-1.3511396399934785,53.26611169689572
78,Bolsover,Supermarket,Lidl,-1.21065894459781,53.2029144529878
79,Bolsover,Supermarket,Morrisons,-1.4820441101295536,53.33526767379619
80,Bolsover,Supermarket,Tesco,-1.2646428,53.2748718
81,Bolsover,Supermarket,Sainsbury's,-1.4932084314319227,53.345223139701574
82,Bolsover,Supermarket,Nisa Local,-1.396367,53.1994313
83,Bolsover,Supermarket,Tesco,-1.1327349,53.3152721
84,Bolsover,Supermarket,Sainsbury's,-1.3503075,53.3416315
85,Bolsover,Supermarket,Tesco Extra,-1.152341365814209,53.13418200884947
86,Bolsover,Supermarket,Aldi,-1.4267165280219025,53.25244781879361
87,Bolsover,Supermarket,Tesco Extra,-1.2025119,53.1498265
88,Bolsover,Grocery Store,The Co-Operative,-1.4068798295243141,53.22055744535039
89,Bolsover,Supermarket,Tesco Esso Express,-1.4458257582664373,53.25033128468902
90,Bolsover,Supermarket,Aldi,-1.4156671556322673,53.16843397592697
91,Bolsover,Supermarket,Aldi,-1.3171895624056056,53.32480207567125
92,Bolsover,Supermarket,Aldi,-1.3745559952399051,53.084919576025186
93,Bolsover,Supermarket,Asda,-1.204221,53.142855
94,Bolsover,Supermarket,Asda,-1.427708,53.359913
95,Bolsover,Supermarket,The Co-operative Food - Chesterfield,-1.4274938509436197,53.2371376451717
96,Bolsover,Supermarket,Aldi,-1.236652,53.132041
97,Bolsover,Supermarket,Tesco,-1.4929674,53.3471081
98,Bolsover,Supermarket,Aldi,-1.254479234697999,53.12239082736256
99,Bolsover,Supermarket,Morrisons,-1.191602616119941,53.16464506917674
100,Bolsover,Supermarket,Aldi,-1.1988331511899062,53.13456004535984
101,Bolsover,Supermarket,Asda,-1.396559,53.375793
102,Bolsover,Supermarket,Morrisons,-1.3733438230712027,53.39093323230048
103,Bolsover,Supermarket,Aldi,-1.2514098742286268,53.0999798626041
104,Bolsover,Supermarket,Aldi,-1.4748428758099512,53.305254998993355
105,Bolsover,Supermarket,Asda,-1.1325377,53.3261185
106,Bolsover,Supermarket,Sainsbury's Local,-1.110061,53.320186
107,Bolsover,Grocery Store,Heron Foods,-1.3421331668978076,53.10570217318713
108,Bolsover,Supermarket,Aldi,-1.2123063501726599,53.368238855941364
109,Bolsover,Supermarket,Nisa Local,-1.4805215103924638,53.32250422732628
110,Bolsover,Supermarket,Asda,-1.4782174,53.3412727
111,Bolsover,Supermarket,Morrisons,-1.3437019798347745,53.32477666780834
112,Bolsover,Supermarket,Nisa Extra,-1.370303705340234,53.07152420868559
113,Bolsover,Grocery Store,Parc Market,-1.0567049016474737,53.16688811138613
114,Bolsover,Supermarket,Tesco,-1.389226,53.0948788
115,Bolsover,Supermarket,Sainsbury's,-1.4760110600194576,53.303760912410915
116,Bolsover,Supermarket,Tesco,-1.0083697736263275,53.202440632265954
117,Bolsover,Supermarket,Aldi,-1.4797087771470532,53.360181808284075
