,Town,Population,Size,Latitude,Longitude,Supermarkets,7.5km,10km,12.5km,15km
166,Abingdon,39654,Medium Town,51.67384000000001,-1.28588,3,57081,260880,279907,329928
167,East Grinstead,30664,Medium Town,51.12401,-0.0076,5,51565,75449,192914,268848
168,Wilmslow,37670,Medium Town,53.32678000000001,-2.22787,15,123104,177596,416329,695250
169,Bushey,27278,Medium Town,51.64435,-0.36305,30,249856,522248,1361919,1826395
170,Ilkeston,39605,Medium Town,52.97909,-1.31055,15,177743,281843,725515,1170434
171,Billericay,34987,Medium Town,51.62485,0.41695,10,199830,265446,306057,557625
172,Jarrow,43218,Medium Town,54.98277,-1.47872,37,304345,824332,1026766,1088392
173,Newbury,42109,Medium Town,51.40592,-1.32611,8,78586,81341,89703,115738
174,Weymouth,55279,Medium Town,50.61224,-2.45854,7,62958,67538,90922,101311
175,Ferndown,27647,Medium Town,50.80214,-1.88893,16,57824,284104,505867,514516
176,Accrington,36534,Medium Town,53.7553,-2.37063,12,221438,367729,439272,478331
177,Peterlee,26665,Medium Town,54.76105,-1.3333700000000002,2,85969,127146,248029,275499
178,Worksop,43613,Medium Town,53.30659,-1.1231799999999998,8,52633,91199,146129,259657
179,Andover,46906,Medium Town,51.20655,-1.47677,9,60662,65380,71187,92712
180,Woodley,38506,Medium Town,53.42683,-2.09714,48,423692,567876,1212574,1736371
181,Wellingborough,53165,Medium Town,52.30244,-0.6963199999999999,11,132946,142836,220034,235121
182,Ditton,27566,Medium Town,51.29961,0.45204,12,178287,203278,475083,501001
183,Egham,29539,Medium Town,51.43099,-0.54719,11,145151,411902,608514,1342165
184,Staines,26808,Medium Town,51.43516,-0.50662,19,159786,301225,816204,1455112
185,Torquay,51339,Medium Town,50.46788,-3.5437300000000005,12,129862,208697,219044,241914
186,Beeston (Broxtowe),54131,Medium Town,52.97638001,-1.26283329,27,208734,642237,775831,913116
187,Warwick,34166,Medium Town,52.28176,-1.59096,12,129244,137447,158039,593235
188,Leyland,40198,Medium Town,53.69532,-2.69348,27,266602,286414,301482,395166
189,Swadlincote,49972,Medium Town,52.77481,-1.55178,14,151565,165311,197206,256705
190,Northwich,48519,Medium Town,53.26018000000001,-2.51091,8,65964,84231,108982,140463
191,Stroud,34726,Medium Town,51.74493,-2.23244,6,86104,90322,107021,270809
192,Lancaster,51932,Medium Town,54.04751,-2.79763,15,121650,128253,128253,131426
193,Wokingham,48356,Medium Town,51.41091,-0.8347899999999999,17,184293,209449,506141,729626
194,Kidsgrove,26276,Medium Town,53.08642,-2.23939,13,69709,465385,494555,614539
195,Camberley,39850,Medium Town,51.33624,-0.73423,17,195683,345498,575969,639616
196,Cramlington,27384,Medium Town,55.08716999999999,-1.58876,15,114032,205340,601410,942085
197,Grantham,44807,Medium Town,52.91319,-0.64284,5,54028,55354,72183,76801
198,Wombwell,25803,Medium Town,53.53076,-1.41084,20,243305,295110,433949,494094
199,Chester-le-Street,37683,Medium Town,54.85908000000001,-1.57497,14,163218,265262,446702,1016047
200,Epsom,35314,Medium Town,51.33307,-0.27142,28,378152,615963,731447,1746206
201,Consett,25812,Medium Town,54.86151,-1.83478,6,52344,87990,103720,167824
202,Royal Leamington Spa,57831,Medium Town,52.2892,-1.5353,12,129242,135017,161077,567945
203,Bexhill,45123,Medium Town,50.84533,0.47752,8,140662,150258,155459,158507
204,Wallsend,45441,Medium Town,54.99123,-1.53322,49,713318,778291,917307,1195889
205,Weybridge,30305,Medium Town,51.37293,-0.4577,23,218696,407845,921917,1241658
206,Glossop,33459,Medium Town,53.44333,-1.94594,3,102539,163300,392638,577885
207,Hoddesdon,43927,Medium Town,51.76784,-0.01323,12,101844,273646,307477,763155
208,Locks Heath/Warsash/Whiteley,46293,Medium Town,50.85507036,-1.281233241,11,117006,215418,527694,1260124
209,Skelmersdale,35120,Medium Town,53.54935,-2.77567,7,70390,206106,422963,614216
210,Rickmansworth,25305,Medium Town,51.64175,-0.4667,12,234458,286074,1009642,1099039
211,Shoreham-by-Sea,51116,Medium Town,50.83193,-0.27646,11,196124,199118,456516,477354
212,Bicester,32835,Medium Town,51.89802,-1.15347,4,42151,48747,60646,106922
213,Thornaby-on-Tees,25628,Medium Town,54.5384,-1.30351,29,331634,368127,392343,396366
214,Herne Bay,40876,Medium Town,51.37127,1.12621,5,77294,84357,149621,182824
215,Leatherhead,33355,Medium Town,51.29639,-0.32939,14,103643,236296,590613,844678
216,Whitley Bay,37277,Medium Town,55.04856,-1.44958,20,206821,421766,436986,867536
217,Horley,26466,Medium Town,51.17545,-0.1692,14,219937,232922,251243,346148
