,Town,Population,Size
1658,Ellington (Huntingdonshire),600,Other
1659,Trefonen,740,Other
1660,Everton (New Forest),1640,Other
1661,Orford,563,Other
1662,Welford,1180,Other
1663,St Merryn,679,Other
1664,Lapford,925,Other
1665,Burghfield,335,Other
1666,Worthen,312,Other
1667,Sandy Cross,277,Other
1668,Great Ayton,4467,Other
1669,Stretham,2044,Other
1670,Cuckfield,3885,Other
1671,Flimwell,1175,Other
1672,Cononley,1064,Other
1673,Upper Tankersley,413,Other
1674,Winchmore Hill,644,Other
1675,Endmoor,617,Other
1676,Little Harrowden,863,Other
1677,Failand,723,Other
1678,Croston,3194,Other
1679,Rawcliffe,1591,Other
1680,Freethorpe,1020,Other
1681,Stewkley,1852,Other
1682,Leedstown,329,Other
1683,Hoveringham,326,Other
1684,Cotgrave,8113,Other
1685,Embleton,364,Other
1686,Lea Valley,631,Other
1687,Braunston-in-Rutland,526,Other
1688,Champneys College,531,Other
1689,Grafty Green,485,Other
1690,Cottingham,1319,Other
1691,Rockland St Mary,801,Other
1692,Harmston,693,Other
1693,Ulleskelf,764,Other
1694,Wingate,5186,Other
1695,Sampford Peverell,1279,Other
1696,Pakenham,592,Other
1697,Great Addington,301,Other
1698,Kirkby Lonsdale,1853,Other
1699,Castle Rising,199,Other
1700,Great Kimble,683,Other
1701,Oakridge Lynch,324,Other
1702,Elland,16255,Other
1703,Grampound,695,Other
1704,Cullingworth,2937,Other
1705,Potterspury,1594,Other
1706,Connor Downs,1534,Other
1707,Orwell,1022,Other
1708,Chelston,418,Other
1709,Bishop's Stortford,40815,Medium Town
1710,Bowerchalke,365,Other
1711,Toll Bar,1281,Other
1712,Walkeringham,683,Other
1713,Kenilworth,21616,Other
1714,Much Wenlock,2228,Other
1715,Chardstock,287,Other
1716,East Drayton,232,Other
1717,Tockwith,1511,Other
1718,Apperknowle,278,Other
1719,Hartwell,2041,Other
1720,Burham,1254,Other
1721,Leconfield,2038,Other
1722,Wellow (Newark and Sherwood),482,Other
1723,Digby,622,Other
1724,Scorton,1016,Other
1725,Haslington,4756,Other
1726,North Mymms,375,Other
1727,Bearley,668,Other
1728,Germoe,179,Other
1729,Unstone Green,937,Other
1730,Aust,209,Other
1731,Hungerford,5157,Other
1732,Stonesfield,1625,Other
1733,Godolphin Cross,719,Other
1734,Shilbottle,1829,Other
1735,Swavesey,2602,Other
1736,Barningham,941,Other
1737,Countesthorpe,7447,Other
1738,St Keverne,995,Other
1739,Ravensmoor,275,Other
1740,Kilmington,928,Other
1741,Denton (South Northamptonshire),694,Other
1742,Fulford,659,Other
1743,Burton Lazars,403,Other
1744,Elder Street,836,Other
1745,Hoby,282,Other
1746,Rooks Bridge,393,Other
1747,Shebbear,724,Other
1748,Easington (County Durham),7093,Other
1749,Hempnall Green,333,Other
1750,Wood Street Village,1723,Other
1751,Corston (Bath and North East Somerset),512,Other
1752,Studland,261,Other
1753,Collingbourne Ducis,962,Other
1754,Bishop Burton,522,Other
1755,Shackleford,221,Other
1756,Downe,349,Other
1757,New Romney,9989,Other
1758,Bishop Middleham,1179,Other
1759,Thorpe Audlin,641,Other
1760,Withington (County of Herefordshire),1232,Other
1761,Guilsborough,742,Other
1762,Old Dalby,336,Other
1763,Toy's Hill,314,Other
1764,Highworth,7750,Other
1765,Bolney,597,Other
1766,Oldhill Wood,155,Other
1767,Wrays,347,Other
1768,Freckenham,366,Other
1769,Sedgefield,4394,Other
1770,Grainthorpe,566,Other
1771,Hook Norton,1950,Other
1772,Etchinghill,651,Other
1773,"Dunstan Lane, nr Burton",170,Other
1774,Malborough,898,Other
1775,Corse,1219,Other
1776,Sandford,658,Other
1777,Bean,1474,Other
1778,Ockley,590,Other
1779,Rock (Cornwall),1183,Other
1780,Broughton (Kettering),2321,Other
1781,Meonstoke,889,Other
1782,Cuffley,4437,Other
1783,Letty Green,296,Other
1784,Griston,1589,Other
1785,Gedney Dyke,331,Other
1786,Ince Blundell,487,Other
1787,Henley-In-Arden,2991,Other
1788,Brogborough,331,Other
1789,Stalbridge,2222,Other
1790,Wrentham,818,Other
1791,Wendens Ambo,464,Other
1792,Bredon,2053,Other
1793,Cornforth,2481,Other
1794,Welford-on-Avon,1701,Other
1795,Coffinswell,232,Other
1796,Dorstone,399,Other
1797,Bourn,737,Other
1798,Shere,618,Other
1799,Great Haywood,2050,Other
1800,Kineton,2155,Other
1801,Abbotsley,394,Other
1802,St Germans,549,Other
1803,Fairfield Park,3763,Other
1804,Colden Common,3518,Other
1805,Washingborough,6757,Other
1806,Fyfield,747,Other
1807,Charfield,2510,Other
1808,Great Eversden,235,Other
1809,Renishaw,2494,Other
1810,Portreath,1133,Other
1811,Manfield,271,Other
1812,Essendine,450,Other
1813,Oakhill,743,Other
1814,West Bank,118,Other
1815,Gedney Drove End,702,Other
1816,Horning,1146,Other
1817,Brockenhurst,3637,Other
1818,Mayland,4079,Other
1819,Arnesby,335,Other
1820,Menheniot,786,Other
1821,Minety,886,Other
1822,Nassington,875,Other
1823,Bradley,681,Other
1824,Rampton (South Cambridgeshire),402,Other
1825,Wysall,414,Other
1826,Craven Arms,2643,Other
1827,Billy Row,1531,Other
1828,Wistanswick,279,Other
1829,Cliffe Woods,2635,Other
1830,East Rainton,1449,Other
1831,Bosham Hoe,252,Other
1832,Meopham (South),1242,Other
1833,Hartlip,774,Other
1834,Worlaby,530,Other
1835,Cranwell (North West),200,Other
1836,Branton,2219,Other
1837,Dummer,943,Other
1838,Little Brickhill,392,Other
1839,Ansty,389,Other
1840,Burton upon Stather,2330,Other
1841,Market Overton,623,Other
1842,Chevington,319,Other
1843,Heather,947,Other
1844,Saxtead Green,347,Other
1845,Cargo,478,Other
1846,Romsley,1355,Other
1847,Whitchurch Canonicorum,344,Other
1848,South Ockendon,22303,Other
1849,Axmouth,491,Other
1850,Royal Hospital School,536,Other
1851,Brimfield,741,Other
1852,South Chailey,1027,Other
1853,Sole Street,970,Other
1854,Lower Hardres,272,Other
1855,Furneux Pelham,560,Other
1856,Rothersthorpe,465,Other
1857,Ickford,687,Other
1858,Upper Gravenhurst,583,Other
1859,Newnham (Forest of Dean),1072,Other
1860,Ettington,1009,Other
1861,Bream,3130,Other
1862,Tow House,744,Other
1863,Kington St Michael,730,Other
1864,Minsterworth,538,Other
1865,Apperley,607,Other
1866,Denby Dale,3119,Other
1867,Defford,546,Other
1868,Wylye,438,Other
1869,Howle Hill,506,Other
1870,Toft,518,Other
1871,Sambourne,235,Other
1872,Ardingly,1259,Other
1873,North Frodingham,814,Other
1874,Hamble-le-Rice,4771,Other
1875,Eastleach Martin,298,Other
1876,Halland,449,Other
1877,Little Haywood,1985,Other
1878,Breighton,270,Other
1879,Chipping Norton,6254,Other
1880,Eardisley,598,Other
1881,Ancaster,1277,Other
1882,Rolvenden Layne,397,Other
1883,Sarratt,900,Other
1884,Tyler Hill,551,Other
1885,Denton (South Kesteven),257,Other
1886,Barrow Hill,397,Other
1887,Beeston,568,Other
1888,Maidwell,489,Other
1889,Grange Moor,1101,Other
1890,Upper Longdon,302,Other
1891,Bempton,1062,Other
1892,Elswick,975,Other
1893,West Chiltington Common,7867,Other
1894,New Rossington,13656,Other
1895,Kingston near Lewes,889,Other
1896,Stourton,498,Other
1897,Countess,278,Other
1898,Stoke Hammond,1460,Other
1899,Seagrave,553,Other
1900,Swillington,2946,Other
1901,Coxheath,4491,Other
1902,Tipton St John,606,Other
1903,Lympstone,1844,Other
1904,Mawsley Village,2479,Other
1905,Holywell Green,3120,Other
1906,Cockshutt,821,Other
1907,Erpingham,374,Other
1908,Milton Malsor,809,Other
1909,Corston (Wiltshire),298,Other
1910,Standlake,1195,Other
1911,Garvestone,363,Other
1912,Belton (Great Yarmouth),4291,Other
1913,Kemerton,377,Other
1914,Meldreth,1984,Other
1915,Tollerton (Hambleton),1016,Other
1916,Timsbury,2535,Other
1917,Ixworth,2256,Other
1918,Purton,3556,Other
1919,Christow,873,Other
1920,Moretonhampstead,1386,Other
1921,Ashover,605,Other
1922,Chilton (Vale of White Horse),1700,Other
1923,Boughton Lees,445,Other
1924,Birdingbury,324,Other
1925,Croft (Warrington),1521,Other
1926,Puttenham,580,Other
1927,Stokenham,358,Other
1928,Wheaton Aston,2005,Other
1929,Chrishall,317,Other
1930,Long Lawford,4052,Other
1931,Wrawby,1384,Other
1932,Great Ryburgh,656,Other
1933,Hatherleigh,1566,Other
1934,Culham,487,Other
1935,Thornwood Common,1072,Other
1936,Stoke Row,686,Other
1937,Epperstone,608,Other
1938,Brightlingsea,8651,Other
1939,Ridgmont,433,Other
1940,Cropston,1148,Other
1941,Mumby,452,Other
1942,Ashwellthorpe,500,Other
1943,West Butterwick,777,Other
1944,Hinton St Mary,233,Other
1945,Stone Hill,417,Other
1946,Wighton,219,Other
1947,Chaldon,744,Other
1948,Clun,690,Other
1949,Cassington,735,Other
1950,Ebberston,453,Other
1951,Capenhurst,349,Other
1952,St Mary Bourne,717,Other
1953,Medbourne,506,Other
1954,Maple Cross,2461,Other
1955,Wilcott,234,Other
1956,Stanford-le-Hope,29004,Medium Town
1957,Rookley,616,Other
1958,Newton (Fenland),348,Other
1959,Claverdon,826,Other
1960,Yeovil,48615,Medium Town
1961,Bolton,434,Other
1962,Hatton,1901,Other
1963,Swainby,586,Other
1964,North Baddesley,6950,Other
1965,Brinkley,381,Other
1966,Worlington,521,Other
1967,Mundesley,2727,Other
1968,Marston Moretaine,5185,Other
1969,Easton Royal,256,Other
1970,"Pudsey Hall Lane, nr Rochford",494,Other
1971,Harrietsham,1855,Other
1972,Semington,790,Other
1973,Somersham (Mid Suffolk),685,Other
1974,Brantham,2356,Other
1975,Morchard Bishop,1034,Other
1976,Binfield Heath,722,Other
1977,Harpole,1320,Other
1978,Dodford,256,Other
1979,Wisborough Green,874,Other
1980,Amesbury,11754,Other
1981,Baltonsborough,647,Other
1982,Bassingbourn,2380,Other
1983,Seghill,2939,Other
1984,Wrea Green,1692,Other
1985,"Ferriby High Road, nr North Ferriby",250,Other
1986,Braithwell,846,Other
1987,Hawkshaw,381,Other
1988,Scampton Airfield,1161,Other
1989,Pebworth,893,Other
1990,North Greetwell,567,Other
1991,Crook,9627,Other
1992,Nawton,911,Other
1993,Kingston Lisle,227,Other
1994,Lyminge,2017,Other
1995,Walpole Highway,720,Other
1996,East Meon,806,Other
1997,Lambourn,3117,Other
1998,Ruan Minor,656,Other
1999,Napton on the Hill,926,Other
2000,Holmesfield,822,Other
2001,Whatstandwell,294,Other
2002,Longrock,593,Other
2003,Bentley (Babergh),538,Other
2004,Lower Down,332,Other
2005,Podington,373,Other
2006,East Hanningfield,941,Other
2007,Easton (Suffolk Coastal),346,Other
2008,Shipston-on-Stour,5243,Other
2009,Mid Lavant,1455,Other
2010,Drayton Parslow,642,Other
2011,Long Sutton (Hart),265,Other
2012,Alston,1029,Other
2013,West Bretton,481,Other
2014,Uley,1002,Other
2015,Eynsford,2830,Other
2016,Abbots Leigh,614,Other
2017,Barcombe Cross,746,Other
2018,Mattersey,411,Other
2019,Wangford,463,Other
2020,Waddingham,613,Other
2021,West Bradford,588,Other
2022,Woodhouse Eaves,1711,Other
2023,Kingfisher Court,549,Other
2024,Great Somerford,598,Other
2025,Soberton Heath,364,Other
2026,Gotherington,1063,Other
2027,Oulton,632,Other
2028,Kelfield,433,Other
2029,Flockton,1469,Other
2030,East Harling,2283,Other
2031,Aylesham,5116,Other
2032,Newton (Bolsover),3148,Other
2033,Stockton,1462,Other
2034,Babraham,314,Other
2035,Mendlesham,1009,Other
2036,Eydon,428,Other
2037,Granborough,594,Other
2038,Cornholme,1694,Other
2039,Maldon,22032,Other
2040,Woodhouse,226,Other
2041,Fowlmere,1261,Other
2042,Istead Rise,3324,Other
2043,Bilsborrow,941,Other
2044,Huggate,342,Other
2045,Bampton (Mid Devon),1287,Other
2046,Glasshouses,536,Other
2047,Nayland,986,Other
2048,Peasmarsh (Guildford),531,Other
2049,North Country,956,Other
2050,Westhope,254,Other
2051,Sudbury,23842,Other
2052,Brandon (County Durham),10177,Other
2053,Middle Barton,1757,Other
2054,Yatton Keynell,841,Other
2055,Weston (South Holland),969,Other
2056,Workhouse End,367,Other
2057,Walgrave,895,Other
2058,Downgate,300,Other
2059,Ormskirk,26262,Medium Town
2060,Sutton St James,1007,Other
2061,West Horndon,1644,Other
2062,Rickling Green,649,Other
2063,Longtown,2045,Other
2064,Fawley,229,Other
2065,Wrotham Heath,240,Other
2066,Deddington,1619,Other
2067,Barkston Ash,377,Other
2068,Coldwaltham,636,Other
2069,South Wonston,2264,Other
2070,Moulton (Forest Heath),1290,Other
2071,Boxford,1100,Other
2072,Blyth (Northumberland),39535,Medium Town
2073,Norton St Philip,692,Other
2074,Ardleigh,1050,Other
2075,Sparsholt,409,Other
2076,Great Cheverell,452,Other
2077,Tibberton (Forest of Dean),548,Other
2078,Laughton,408,Other
2079,Newbold-on-Stour,636,Other
2080,Four Throws,414,Other
2081,Branston,4021,Other
2082,Sandwich Bay Estate,308,Other
2083,Holbeach,8418,Other
2084,Duxford,2177,Other
2085,Faldingworth,489,Other
2086,Stow cum Quy,498,Other
2087,Higher Wheelton,657,Other
2088,Coates (Fenland),2232,Other
2089,Dodleston,687,Other
2090,Haydon Bridge,1571,Other
2091,Martham,3302,Other
2092,Hodnet,316,Other
2093,Cann Common,272,Other
2094,East End,205,Other
2095,Helmdon,774,Other
2096,Brigham,722,Other
2097,Clipston,639,Other
2098,Great Ponton,369,Other
2099,South Grove,231,Other
2100,Shap,1285,Other
2101,Burford,1330,Other
2102,Sherston,1345,Other
2103,East Horsley,6002,Other
2104,Icklesham,979,Other
2105,Soulbury,320,Other
2106,Ticknall,621,Other
2107,Christ's Hospital,1283,Other
2108,Charlton (Wychavon),563,Other
2109,Callow End,900,Other
2110,Burton,519,Other
2111,Bradford-on-Tone,641,Other
2112,Gander's Green,206,Other
2113,North Lopham,668,Other
2114,Heywood,475,Other
2115,Alconbury Weston,774,Other
2116,Diseworth,647,Other
2117,Barlaston,2008,Other
2118,St Helens,1164,Other
2119,Horsleys Green,833,Other
2120,St Neot,292,Other
2121,Gretton (Corby),1474,Other
2122,Codford St Peter,851,Other
2123,Burwell,6417,Other
2124,Longhope,1197,Other
2125,Tremar,662,Other
2126,East Chinnock,487,Other
2127,Acton Trussell,762,Other
2128,Orcheston,325,Other
2129,Kirkby Malzeard,873,Other
2130,Black Notley,1971,Other
2131,Nailstone,564,Other
2132,Corscombe,500,Other
2133,Wootton (North Lincolnshire),513,Other
2134,Ringstead,1970,Other
2135,Yealmpton,2015,Other
2136,Mareham le Fen,984,Other
2137,Compton End,409,Other
2138,Eton Wick,2050,Other
2139,Darlington,93305,Other
2140,Eastrington,1160,Other
2141,Kessingland,4342,Other
2142,Lawns Wood,406,Other
2143,Stoke Fleming,764,Other
2144,Bramdean,264,Other
2145,Bere Ferrers,377,Other
2146,Drinkstone Green,628,Other
2147,Witnesham,349,Other
2148,Stanton Harcourt,608,Other
2149,Worth Matravers,241,Other
2150,Hopton on Sea,2492,Other
2151,Fort Halstead,342,Other
2152,Whitminster,855,Other
2153,Crowle (Wychavon),1103,Other
2154,Dundry,279,Other
2155,Gayton (South Northamptonshire),547,Other
2156,Kelloe,1411,Other
2157,Wardington,566,Other
2158,Axminster,6788,Other
2159,Looe,5175,Other
2160,Long Sutton (South Somerset),531,Other
2161,Horringer,798,Other
2162,Southwater,9313,Other
2163,Raymond's Hill,828,Other
2164,Audlem,1683,Other
2165,Ash (South Somerset),597,Other
2166,St Mabyn,260,Other
2167,Clifford's Mesne,385,Other
2168,Burwash,1398,Other
2169,Tockington,443,Other
2170,Cranfield,6427,Other
2171,Pytchley,480,Other
2172,Culford,755,Other
2173,Shoreham,756,Other
2174,Norton Canes,7482,Other
2175,Walesby (West Lindsey),237,Other
2176,Chipperfield (Three Rivers),310,Other
2177,Ouston,325,Other
2178,Newquay,22612,Other
2179,Burton-in-Kendal,1383,Other
2180,Hemsworth,9425,Other
2181,"Plaw Hatch Lane, nr Sharpthorne",358,Other
2182,Dunton Bassett,837,Other
2183,Higham,813,Other
2184,Clare,2173,Other
2185,Gazeley,660,Other
2186,Yetminster,1120,Other
2187,Thorney Island,1192,Other
2188,Huntspill,1102,Other
2189,Lightwater,6720,Other
2190,Warkworth,1441,Other
2191,Linton,4558,Other
2192,Larkhill,2219,Other
2193,High Pittington,1149,Other
2194,Mickleton (Cotswold),2124,Other
2195,Terrington,357,Other
2196,Owermoigne,365,Other
2197,Bewdley,8686,Other
2198,Southery,1169,Other
2199,Roughton,613,Other
2200,Sawtry,5687,Other
2201,Sparkford,520,Other
2202,Upper Cumberworth,654,Other
2203,Sabden,1565,Other
2204,Welton (Daventry),604,Other
2205,Reedness,310,Other
2206,Newton (Babergh),513,Other
2207,Cookley,1702,Other
2208,North Cheriton,196,Other
2209,Kirkby-in-Furness,563,Other
2210,Millom,5787,Other
2211,Pitsford,688,Other
2212,Foxton (South Cambridgeshire),1251,Other
2213,Catcott,924,Other
2214,Wookey,854,Other
2215,Lower Dicker,448,Other
2216,Chieveley,979,Other
2217,Cocking,454,Other
2218,Exminster,4262,Other
2219,Pluckley Thorne,646,Other
2220,Newborough (City of Peterborough),1247,Other
2221,Lockington,373,Other
2222,Tolleshunt Knights,1043,Other
2223,Gilberdyke,3544,Other
2224,Denholme,2825,Other
2225,Assington,445,Other
2226,Carlton (Hinckley and Bosworth),380,Other
2227,Thorpe on the Hill,438,Other
2228,Gainford,1155,Other
2229,Great Massingham,961,Other
2230,Low Etherley,1942,Other
2231,Tintagel,1042,Other
2232,Gowdall,330,Other
2233,Nether Stowey,1478,Other
2234,Litcham,441,Other
2235,Crantock,835,Other
2236,Fairlands,1425,Other
2237,Crawley (Winchester),287,Other
2238,Osbournby,417,Other
2239,Porlock,1142,Other
2240,Brandesburton,1337,Other
2241,Lackford,249,Other
2242,Chilton Polden,717,Other
2243,Bicker,701,Other
2244,Lower Stanton St Quintin,541,Other
2245,Seething,367,Other
2246,Thornhill,860,Other
2247,Denbury,689,Other
2248,Brampton (Carlisle),4362,Other
2249,Wiveliscombe,2271,Other
2250,Essendon,561,Other
2251,North Thoresby,1094,Other
2252,Thirsk,10946,Other
2253,Allonby,466,Other
2254,Westleton,334,Other
2255,Huntingdon,26004,Medium Town
2256,Thorney,1944,Other
2257,Hopton,634,Other
2258,Evenley,625,Other
2259,Little Hallingbury,1388,Other
2260,Great Waldingfield,1407,Other
2261,North Coates Airfield,472,Other
2262,Peasmarsh (Rother),1168,Other
2263,Gretton (Tewkesbury),460,Other
2264,Oldbury-on-Severn,357,Other
2265,Darley,774,Other
2266,Anwick,386,Other
2267,Camelford,2795,Other
2268,Dry Drayton,639,Other
2269,Shapwick,485,Other
2270,Broadwell (Cotswold),335,Other
2271,Blandford Camp,1790,Other
2272,Aldford,268,Other
2273,Dagnall,370,Other
2274,Great Houghton (Northampton),627,Other
2275,Newton (South Cambridgeshire),379,Other
2276,Cogenhoe,1402,Other
2277,Warmington (Stratford-on-Avon),350,Other
2278,Great Limber,256,Other
2279,Sydling St Nicholas,427,Other
2280,Southfields,1029,Other
2281,Thorpe Willoughby,3176,Other
2282,Wickwar,1603,Other
2283,Shirebrook,12408,Other
2284,Whiteparish,1131,Other
2285,Upper Lambourn,463,Other
2286,Rotherwick,591,Other
2287,Bramshall,662,Other
2288,Chattenden,1006,Other
2289,Belford,1372,Other
2290,Blackdown,173,Other
2291,Akeley,540,Other
2292,Eggborough,2173,Other
2293,Scarcliffe,464,Other
2294,South Newington,260,Other
2295,Whissendine,1211,Other
2296,Ingoldsby,292,Other
2297,East Bridgford,1889,Other
2298,Bishops Lydeard,2013,Other
2299,Clifton (Derbyshire Dales),287,Other
2300,Saughall,2678,Other
2301,Cowling,1399,Other
2302,Lidgate,223,Other
2303,Easingwold,4884,Other
2304,Prees Higher Heath,1177,Other
2305,Pimperne,1070,Other
2306,Great Haseley,515,Other
2307,Lynton,1068,Other
2308,Knowles Hill,621,Other
2309,Allendale Town,797,Other
2310,Blagdon Hill,540,Other
2311,North Coker,714,Other
2312,Gorefield,999,Other
2313,Kensworth,1498,Other
2314,Elsham,400,Other
2315,East Winch,834,Other
2316,Scole,1076,Other
2317,Newton-on-Ouse,689,Other
2318,Upton (Vale of White Horse),438,Other
2319,Fillongley,764,Other
2320,Lower Green,294,Other
2321,Bagby,540,Other
2322,Market Rasen,5307,Other
2323,Musbury,508,Other
2324,Wisbech St Mary,1007,Other
2325,Dolton,684,Other
2326,Leven,2468,Other
2327,Framlingham,3723,Other
2328,Hales,786,Other
2329,Shelfanger,408,Other
2330,Ufford (Suffolk Coastal),600,Other
2331,Saltfleet,541,Other
2332,Catherine-de-Barnes,642,Other
2333,Kelvedon Hatch,2434,Other
2334,Bellingham,1071,Other
2335,Old Sarum,3242,Other
2336,Havenstreet,431,Other
2337,Weston (Newark and Sherwood),371,Other
2338,Cliff End,250,Other
2339,Kegworth,4034,Other
2340,Stockbridge,756,Other
2341,Sedgeford,601,Other
2342,Aldbrough,1263,Other
2343,Silkstone Common,1339,Other
2344,Thruxton Aerodrome,566,Other
2345,Doddinghurst,4495,Other
2346,Long Stratton,4502,Other
2347,Lidlington,1317,Other
2348,Rackheath,1666,Other
2349,Four Lanes,1629,Other
2350,Berkeley,2068,Other
2351,Carlton (Selby),1988,Other
2352,Childrey,513,Other
2353,Arkesden,398,Other
2354,Kingston Bagpuize,3337,Other
2355,Charlton (South Northamptonshire),527,Other
2356,Odiham Airfield,1707,Other
2357,Easter Compton,330,Other
2358,Westwoodside,2105,Other
2359,Eastry,2509,Other
2360,Beckington,980,Other
2361,Spratton,1309,Other
2362,Low Bentham,708,Other
2363,Dickens Heath,4918,Other
2364,Walesby (Newark and Sherwood),1236,Other
2365,Sherborne,9894,Other
2366,Myddle,355,Other
2367,Broomedge,432,Other
2368,Darrington,1129,Other
2369,Ombersley,591,Other
2370,Bridge,1596,Other
2371,Ulceby,1690,Other
2372,Ringmer,3235,Other
2373,Etwall,2834,Other
2374,Coates (Cotswold),490,Other
2375,Whitchurch Hill,662,Other
2376,Wilstead,2213,Other
2377,Barrow upon Trent,609,Other
2378,Croyde,645,Other
2379,Middleton (Derbyshire Dales),938,Other
2380,Long Marston (Harrogate),646,Other
2381,Lelant,993,Other
2382,Silsden,7996,Other
2383,Burston,564,Other
2384,Ansley,901,Other
2385,Leyburn,2342,Other
2386,Onehouse,857,Other
2387,Hollym,302,Other
2388,Fishburn,2574,Other
2389,North Leigh,1508,Other
2390,Wistow (Huntingdonshire),539,Other
2391,Halwill Junction,580,Other
2392,Henstridge,1443,Other
2393,Weston-sub-Edge,465,Other
2394,Greens Norton,1553,Other
2395,Meppershall,1811,Other
2396,Dane End,586,Other
2397,Stoke Holy Cross,1153,Other
2398,Woodbeck,286,Other
2399,Kedington,2032,Other
2400,Quenington,541,Other
2401,Porthleven,3141,Other
2402,Sharpstone Street,555,Other
2403,Langham (Rutland),1493,Other
2404,Wattisfield,512,Other
2405,Newbold,897,Other
2406,Tetsworth,758,Other
2407,Bitton,580,Other
2408,Ribchester,880,Other
2409,Dinton (Aylesbury Vale),242,Other
2410,Thriplow,450,Other
2411,Clifton (Fylde),896,Other
2412,Upper Seagry,315,Other
2413,Creech St Michael,1858,Other
2414,Brafield-on-the-Green,659,Other
2415,Sutton cum Lound,686,Other
2416,Necton,1986,Other
2417,New Marske,3097,Other
2418,Hollesley,665,Other
2419,Waddesdon,1812,Other
2420,Addingham,3644,Other
2421,Copplestone,1253,Other
2422,Troon,1409,Other
2423,Gringley on the Hill,919,Other
2424,Carlton-le-Moorland,547,Other
2425,Fairburn,851,Other
2426,Glaisdale,630,Other
2427,Stanley (Erewash),762,Other
2428,Wistow (Selby),1323,Other
2429,Flyford Flavell,322,Other
2430,Willington (County Durham),6832,Other
2431,South Molton,5674,Other
2432,Holmwood,1058,Other
2433,Killinghall,1179,Other
2434,Bramcote,767,Other
2435,Tolpuddle,491,Other
2436,High Park Corner,253,Other
2437,Grendon,542,Other
2438,Shardlow,676,Other
2439,Long Load,333,Other
2440,Ashbocking,373,Other
2441,Wilsford,449,Other
2442,Eagle,816,Other
2443,Minsterley,1705,Other
2444,Honiton,11549,Other
2445,Low Worsall,289,Other
2446,Coton,929,Other
2447,Marsden,3756,Other
2448,Winford (North Somerset),1209,Other
2449,Esh Winning,3855,Other
2450,Little Gaddesden,621,Other
2451,Southrepps,584,Other
2452,Playing Place,817,Other
2453,Stanhoe,264,Other
2454,North Weald Bassett,4574,Other
2455,Gawcott,911,Other
2456,Nettlesworth,1191,Other
2457,Kentisbeare,626,Other
2458,Tiddington,684,Other
2459,Durham Tees Valley International Airport,296,Other
2460,Little Thetford,769,Other
2461,Low Bradley,1274,Other
2462,Polruan,547,Other
2463,Sutton Scotney,936,Other
2464,Wickham Market,2332,Other
2465,Maisemore,511,Other
2466,Dinton (Wiltshire),733,Other
2467,Eastbury,294,Other
2468,Chippenham (Wiltshire),35469,Medium Town
2469,Milnthorpe,2220,Other
2470,Spaldwick,647,Other
2471,Charminster,1427,Other
2472,Gillingham (North Dorset),11490,Other
2473,Redbourn,5178,Other
2474,Stanion,825,Other
2475,Swindon (South Staffordshire),1138,Other
2476,Spittlegate,290,Other
2477,Witham St Hughs,3111,Other
2478,Modbury,1540,Other
2479,Brancaster,427,Other
2480,Widemouth Bay,319,Other
2481,Sedgeberrow,849,Other
2482,Iron Acton,546,Other
2483,Great Shefford,921,Other
2484,Ditton Priors,891,Other
2485,St Newlyn East,979,Other
2486,Eaton Bray,4105,Other
2487,Woodmansey,853,Other
2488,Charlton Marshall,1049,Other
2489,Laughterton,420,Other
2490,Stradbroke,1204,Other
2491,Stokesley,4670,Other
2492,Bitchet Green,290,Other
2493,Bretherton,456,Other
2494,Northwold,696,Other
2495,Netherseal,705,Other
2496,Kirby Misperton,353,Other
2497,Lindale,559,Other
2498,Grendon Underwood,687,Other
2499,South Witham,1651,Other
2500,Flexbury,2291,Other
2501,Wethersfield,718,Other
2502,Amberley,593,Other
2503,West Mersea,7144,Other
2504,Hanwood,1192,Other
2505,Lavenham,1520,Other
2506,Roxton,356,Other
2507,Ambleside,2601,Other
2508,Rimpton,250,Other
2509,Tring,12297,Other
2510,Guisborough,17795,Other
2511,Farnsfield,2877,Other
2512,Combwich,636,Other
2513,Longframlington,1025,Other
2514,Utterby,316,Other
2515,Great Gidding,341,Other
2516,Elham,872,Other
2517,Willoughby (Rugby),390,Other
2518,Hamsterley Mill,321,Other
2519,Luckington,681,Other
2520,Turvey,927,Other
2521,Longborough,440,Other
2522,Dove Holes,1063,Other
2523,Farnborough (Stratford-on-Avon),270,Other
2524,Bishampton,625,Other
2525,Great Barton,1623,Other
2526,Olney,6060,Other
2527,New Alresford,5393,Other
2528,Wilberfoss,2020,Other
2529,Longhoughton,1269,Other
2530,St Columb Major,3996,Other
2531,Peopleton,591,Other
2532,Chearsley,563,Other
2533,Tatworth,2215,Other
2534,Week St Mary,743,Other
2535,Mepal,954,Other
2536,Toynton All Saints,417,Other
2537,Sheriffhales,386,Other
2538,Marchwood,6035,Other
2539,Kingsdown (Wiltshire),288,Other
2540,Rudheath Woods,258,Other
2541,Croxton,294,Other
2542,Kilcot,269,Other
2543,Belchford,238,Other
2544,Long Itchington,1825,Other
2545,Shotley Gate,1454,Other
2546,High Ercall,671,Other
2547,Condover,785,Other
2548,Castleside,5680,Other
2549,Marsh Baldon,282,Other
2550,North Elmham,1244,Other
2551,Cookshill,332,Other
2552,Rugeley,24725,Other
2553,Hellifield,1437,Other
2554,Milborne St Andrew,1093,Other
2555,Woodborough (Gedling),1676,Other
2556,Coven,2616,Other
2557,Poughill,717,Other
2558,Etchingham,404,Other
2559,Keelby,2071,Other
