,Town,Population,Size,Latitude,Longitude,Supermarkets,7.5km,10km,12.5km,15km,Estimated Requirement
87,Brierley Hill,32149,Medium Town,52.48289000000001,-2.12118,33,452836,621217,993152,2248031,12.109044305132798
88,Kendal,29672,Medium Town,54.324,-2.74803,5,33532,34895,44879,50046,-0.3482149247919004
89,Yate,30397,Medium Town,51.53952,-2.40958,7,63250,69720,149580,157589,-0.06432463303799985
90,Wisbech,34655,Medium Town,52.67074,0.15663,5,42067,52430,59422,89710,-0.5865830730142001
91,Farnworth,28384,Medium Town,53.548880000000004,-2.39362,35,459455,692031,1385420,1695080,7.679545799537998
92,Whitstable,33236,Medium Town,51.36231,1.02664,5,75102,94460,181342,188286,-2.5849221111262004
93,Halesowen,59669,Medium Town,52.450959999999995,-2.05185,34,365275,568194,1826061,1992982,-0.542814043742105
94,Ashford (Spelthorne),28862,Medium Town,51.41851044,-0.442725672,32,219308,779892,976922,1952363,11.375063355235795
95,Hatfield,45390,Medium Town,51.76137,-0.23271,11,208403,252601,774878,806092,-6.3133190872158025
96,Crosby,50193,Medium Town,53.4907,-3.02489,20,151147,823009,996372,1008118,-0.943733349909202
97,Bishop Auckland,25433,Medium Town,54.65006999999999,-1.6805,12,56251,126802,144002,170700,5.027102000447799
98,Bootle,52835,Medium Town,53.45595,-2.98595,41,797865,946853,1067652,1112502,18.887946385682795
99,Rowley Regis,35791,Medium Town,52.48392,-2.0447,39,468506,1855363,1998903,2269616,1.6242060019816975
100,Billingham,34169,Medium Town,54.60685,-1.29399,24,302142,329574,471865,519728,11.6532385485735
101,Aldridge,39466,Medium Town,52.60479,-1.91533,19,193081,449125,718892,2263171,2.604323706318798
102,Macclesfield,56366,Medium Town,53.25609,-2.12657,3,65974,67481,166460,236245,-4.340997557606
103,Windsor,32640,Medium Town,51.4788,-0.62462,11,233182,397885,510521,940817,-1.9803555611481016
104,Hucknall,35797,Medium Town,53.03238,-1.20918,14,176598,339542,875342,1034284,-4.9599819245262005
105,Oldbury (Sandwell),25740,Medium Town,52.50189832,-1.999627048,45,1614928,1860452,2007538,2446755,7.482673377358196
106,Stalybridge,27081,Medium Town,53.48353,-2.0575200000000002,30,378401,537308,755656,1418282,13.001740566578398
107,Bury St Edmunds,41554,Medium Town,52.24992,0.70929,5,52304,60130,70751,85112,-0.7722719096511002
108,Thatcham,26135,Medium Town,51.40383,-1.26359,8,75581,83143,105402,119313,1.6597782379077994
109,Darwen,27311,Medium Town,53.6943,-2.46719,12,165348,235556,370667,711279,1.3119320687412994
110,Braintree,43552,Medium Town,51.87775,0.55324,7,72021,92185,145390,172833,0.004351880820999909
111,Carlton (Gedling),50815,Medium Town,52.97069000000001,-1.0823399999999999,25,486741,536702,647039,704844,9.782035770832099
112,Horsham,51265,Medium Town,51.06517,-0.32903000000000004,5,75846,90783,208414,235846,-3.0286477873054007
113,Castleford,43625,Medium Town,53.722359999999995,-1.34467,16,148052,182681,324442,365947,6.0695864489638005
114,Heywood,30323,Medium Town,53.593509999999995,-2.21847,25,361774,564871,785571,1759470,7.511416482546899
115,Littlehampton,59171,Medium Town,50.82108,-0.53964,9,67283,78669,275159,281110,-0.12263678909990006
116,Chichester,31730,Medium Town,50.8362,-0.7754300000000001,6,46516,128685,171807,224972,-1.4286379680127004
117,Ewell,54816,Medium Town,51.350229999999996,-0.2499,42,526272,614765,1586388,2073603,11.385564501873198
118,Borehamwood,37958,Medium Town,51.65609,-0.27525,25,480454,910853,1394638,2294692,-2.471542530951801
119,Shipley,28779,Medium Town,53.83814,-1.77278,22,481002,616394,642946,881526,6.849122398809399
120,Banbury,47447,Medium Town,52.06149,-1.33989,7,70635,80067,87649,110625,0.9507601354110999
121,Sevenoaks,32120,Medium Town,51.2702,0.19296,6,64758,125678,142147,209081,-0.9424934808867
122,Brighouse,33874,Medium Town,53.70244,-1.77462,30,380691,552361,984624,1078046,9.2488231381136
123,Nelson (Pendle),31722,Medium Town,53.82422524,-2.237416386,13,158147,161722,260578,343505,4.1163542010142
